,proportion,type,ROI,net,layer
322,14.420138168882898,perceptual,EVC,alexnettrained,ReLu2
323,0.26082124438582416,semantic,EVC,alexnettrained,ReLu2
324,-8.490625960467193,perceptual,EVC,alexnettrained,ReLu2
325,-0.07052987352951468,semantic,EVC,alexnettrained,ReLu2
326,0.2166707825931544,perceptual,EVC,alexnettrained,ReLu2
327,-0.011999766426862703,semantic,EVC,alexnettrained,ReLu2
328,1.5507405859793963,perceptual,EVC,alexnettrained,ReLu2
329,0.0105831897099324,semantic,EVC,alexnettrained,ReLu2
330,26.492562883008127,perceptual,EVC,alexnettrained,ReLu7
331,5.650916984673297,semantic,EVC,alexnettrained,ReLu7
332,-0.11828650867001021,perceptual,EVC,alexnettrained,ReLu7
333,-0.2336979760818147,semantic,EVC,alexnettrained,ReLu7
334,4.759057033430831,perceptual,EVC,alexnettrained,ReLu7
335,1.2487106527489271,semantic,EVC,alexnettrained,ReLu7
336,1.2514975490511362,perceptual,EVC,alexnettrained,ReLu7
337,-0.0011938007505675106,semantic,EVC,alexnettrained,ReLu7
338,0.45792133896575127,perceptual,EVC,alexnettrained,ReLu7
339,0.6813691230601902,semantic,EVC,alexnettrained,ReLu7
340,0.721939551978774,perceptual,EVC,alexnettrained,ReLu7
341,0.08680425420112575,semantic,EVC,alexnettrained,ReLu7
342,1.640963557221719,perceptual,EVC,alexnettrained,ReLu7
343,0.11772576136596112,semantic,EVC,alexnettrained,ReLu7
344,-1.8566198536907434,perceptual,EVC,alexnettrained,ReLu7
345,-0.6328296509741749,semantic,EVC,alexnettrained,ReLu7
346,1.6274088428573217,perceptual,EVC,alexnettrained,ReLu7
347,0.1447112713699859,semantic,EVC,alexnettrained,ReLu7
348,0.4406387752575806,perceptual,EVC,alexnettrained,ReLu7
349,-0.08010187454429962,semantic,EVC,alexnettrained,ReLu7
350,3.104275897015109,perceptual,EVC,alexnettrained,ReLu7
351,0.1114023346362279,semantic,EVC,alexnettrained,ReLu7
352,0.8097882415356974,perceptual,EVC,alexnettrained,ReLu7
353,0.03079527786840074,semantic,EVC,alexnettrained,ReLu7
354,-1.6421069744061292,perceptual,EVC,alexnettrained,ReLu7
355,-0.2648358038137731,semantic,EVC,alexnettrained,ReLu7
356,0.5463940750805742,perceptual,EVC,alexnettrained,ReLu7
357,-0.05997974031601713,semantic,EVC,alexnettrained,ReLu7
358,0.8272720189892072,perceptual,EVC,alexnettrained,ReLu7
359,-0.02319545769138161,semantic,EVC,alexnettrained,ReLu7
